cultivo;residuo;fr;ybas;dr;pci;pb;wf
Palma de aceite;Cuesco;0.22;0.833;1;16685.8;0.4971;0.167
Palma de aceite;Fibra;0.63;0.694;1;17882.4;0.4971;0.306
Palma de aceite;Raquis;1.06;0.425;1;16823.9;0.4971;0.575
Caña de azúcar;Hojas de cogollo;3.26;0.317;0.65;15413.9;0.4971;0.683
Caña de azúcar;Bagazo;2.68;0.588;1;18643.9;0.4971;0.412
Caña para panela;Bagazo;3.75;0.588;1;18643.9;0.4971;0.412
Caña para panela;Hojas cogollo;2.53;0.292;0.65;16765.3;0.4971;0.708
Café;Pulpa;2.13;0.201;1;17819.7;0.4971;0.799
Café;Cisco;0.21;0.931;1;18535.1;0.4971;0.069
Café;Tallos;3.02;0.738;0.5;18342.7;0.4971;0.262
Maíz;Rastrojo;0.93;0.685;0.4;14346.9;0.514;0.315
Maíz;Tusa;0.27;0.734;0.4;14183.8;0.514;0.266
Maíz;Capacho;0.21;0.936;0.4;16213;0.514;0.064
Arroz;Tamo;2.35;0.275;0.4;13023;0.352;0.725
Arroz;Cascarilla;0.2;0.961;1;15074;0.352;0.039
Banano;Raquis;1.59;0.057;0.5;7568.9;0.4971;0.943
Banano;Vástago;7.95;0.066;0.5;8501.9;0.4971;0.934
Banano;Rechazo;0.24;0.169;1;10409.8;0.4971;0.831
Plátano;Raquis;1;0.057;0.5;7564.7;0.4971;0.943
Plátano;Vástago;5;0.066;0.5;8501.9;0.4971;0.934
Plátano;Rechazo;0.15;0.187;1;9405.6;0.4971;0.813
Algodón;Paja;1.4;0.86;0.4;14600;0.4971;0.14
Coco;Cáscara;0.84;0.919;1;21500;0.4971;0.081
Coco;Concha;0.42;0.86;1;20090;0.4971;0.14
Frijol;Tallos y hojas;1.31;0.91;0.4;14165;0.4971;0.09
Maní;Paja;2.52;0.86;1;20100;0.4971;0.14
Soya;Paja;2.16;0.86;0.3;17345;0.4971;0.14
Trigo;Paja;2.22;0.89;0.4;15970;0.367;0.11
Yuca;Cáscaras y puntas;0.88;0.86;0.4;18045;0.4971;0.14
